timestamp,parameter,value,unit
2026-07-13T19:00:00Z,pm25,34.4,µg/m³
2026-07-13T20:00:00Z,pm25,16.47,µg/m³
2026-07-13T21:00:00Z,pm25,19.54,µg/m³
2026-07-13T22:00:00Z,pm25,19.81,µg/m³
2026-07-13T23:00:00Z,pm25,14.73,µg/m³
2026-07-14T00:00:00Z,pm25,20.2,µg/m³
2026-07-14T01:00:00Z,pm25,20.43,µg/m³
2026-07-14T02:00:00Z,pm25,16.94,µg/m³
2026-07-14T03:00:00Z,pm25,21.5,µg/m³
2026-07-14T04:00:00Z,pm25,21.17,µg/m³
2026-07-14T05:00:00Z,pm25,17.94,µg/m³
2026-07-14T06:00:00Z,pm25,20.66,µg/m³
2026-07-14T07:00:00Z,pm25,30.0,µg/m³
2026-07-14T08:00:00Z,pm25,29.81,µg/m³
2026-07-14T09:00:00Z,pm25,31.93,µg/m³
2026-07-14T10:00:00Z,pm25,18.91,µg/m³
2026-07-14T11:00:00Z,pm25,17.11,µg/m³
2026-07-14T12:00:00Z,pm25,15.54,µg/m³
2026-07-14T13:00:00Z,pm25,15.79,µg/m³
2026-07-14T14:00:00Z,pm25,18.94,µg/m³
2026-07-14T15:00:00Z,pm25,16.66,µg/m³
2026-07-14T16:00:00Z,pm25,22.1,µg/m³
2026-07-14T17:00:00Z,pm25,39.64,µg/m³
2026-07-14T18:00:00Z,pm25,29.32,µg/m³
2026-07-14T19:00:00Z,pm25,28.29,µg/m³
2026-07-14T20:00:00Z,pm25,19.25,µg/m³
2026-07-14T21:00:00Z,pm25,22.18,µg/m³
2026-07-14T22:00:00Z,pm25,21.29,µg/m³
2026-07-14T23:00:00Z,pm25,15.73,µg/m³
2026-07-15T00:00:00Z,pm25,18.34,µg/m³
2026-07-15T01:00:00Z,pm25,20.85,µg/m³
2026-07-15T02:00:00Z,pm25,16.66,µg/m³
2026-07-15T03:00:00Z,pm25,20.19,µg/m³
2026-07-15T04:00:00Z,pm25,17.3,µg/m³
2026-07-15T05:00:00Z,pm25,16.63,µg/m³
2026-07-15T06:00:00Z,pm25,16.2,µg/m³
2026-07-15T07:00:00Z,pm25,30.17,µg/m³
2026-07-15T08:00:00Z,pm25,28.15,µg/m³
2026-07-15T09:00:00Z,pm25,27.69,µg/m³
2026-07-15T10:00:00Z,pm25,20.15,µg/m³
2026-07-15T11:00:00Z,pm25,22.41,µg/m³
2026-07-15T12:00:00Z,pm25,15.81,µg/m³
2026-07-15T13:00:00Z,pm25,20.42,µg/m³
2026-07-15T14:00:00Z,pm25,16.77,µg/m³
2026-07-15T15:00:00Z,pm25,21.86,µg/m³
2026-07-15T16:00:00Z,pm25,17.21,µg/m³
2026-07-15T17:00:00Z,pm25,40.54,µg/m³
2026-07-15T18:00:00Z,pm25,28.74,µg/m³
2026-07-15T19:00:00Z,pm25,36.06,µg/m³
2026-07-15T20:00:00Z,pm25,16.78,µg/m³
2026-07-15T21:00:00Z,pm25,19.48,µg/m³
2026-07-15T22:00:00Z,pm25,17.02,µg/m³
2026-07-15T23:00:00Z,pm25,15.93,µg/m³
2026-07-16T00:00:00Z,pm25,19.5,µg/m³
2026-07-16T01:00:00Z,pm25,16.0,µg/m³
2026-07-16T02:00:00Z,pm25,16.98,µg/m³
2026-07-16T03:00:00Z,pm25,20.99,µg/m³
2026-07-16T04:00:00Z,pm25,18.58,µg/m³
2026-07-16T05:00:00Z,pm25,20.74,µg/m³
2026-07-16T06:00:00Z,pm25,17.44,µg/m³
2026-07-16T07:00:00Z,pm25,40.13,µg/m³
2026-07-16T08:00:00Z,pm25,32.96,µg/m³
2026-07-16T09:00:00Z,pm25,28.45,µg/m³
2026-07-16T10:00:00Z,pm25,14.82,µg/m³
2026-07-16T11:00:00Z,pm25,19.13,µg/m³
2026-07-16T12:00:00Z,pm25,20.23,µg/m³
2026-07-16T13:00:00Z,pm25,15.42,µg/m³
2026-07-16T14:00:00Z,pm25,17.39,µg/m³
2026-07-16T15:00:00Z,pm25,18.17,µg/m³
2026-07-16T16:00:00Z,pm25,15.0,µg/m³
2026-07-16T17:00:00Z,pm25,27.79,µg/m³
2026-07-16T18:00:00Z,pm25,30.48,µg/m³
2026-07-16T19:00:00Z,pm25,34.73,µg/m³
2026-07-16T20:00:00Z,pm25,15.56,µg/m³
2026-07-16T21:00:00Z,pm25,22.38,µg/m³
2026-07-16T22:00:00Z,pm25,15.2,µg/m³
2026-07-16T23:00:00Z,pm25,18.42,µg/m³
2026-07-17T00:00:00Z,pm25,17.59,µg/m³
2026-07-17T01:00:00Z,pm25,16.15,µg/m³
2026-07-17T02:00:00Z,pm25,19.34,µg/m³
2026-07-17T03:00:00Z,pm25,18.14,µg/m³
2026-07-17T04:00:00Z,pm25,21.61,µg/m³
2026-07-17T05:00:00Z,pm25,14.51,µg/m³
2026-07-17T06:00:00Z,pm25,19.84,µg/m³
2026-07-17T07:00:00Z,pm25,39.22,µg/m³
2026-07-17T08:00:00Z,pm25,34.24,µg/m³
2026-07-17T09:00:00Z,pm25,30.32,µg/m³
2026-07-17T10:00:00Z,pm25,18.15,µg/m³
2026-07-17T11:00:00Z,pm25,18.55,µg/m³
2026-07-17T12:00:00Z,pm25,14.78,µg/m³
2026-07-17T13:00:00Z,pm25,15.05,µg/m³
2026-07-17T14:00:00Z,pm25,20.27,µg/m³
2026-07-17T15:00:00Z,pm25,15.37,µg/m³
2026-07-17T16:00:00Z,pm25,21.69,µg/m³
2026-07-17T17:00:00Z,pm25,30.2,µg/m³
2026-07-17T18:00:00Z,pm25,32.24,µg/m³
2026-07-17T19:00:00Z,pm25,39.03,µg/m³
2026-07-17T20:00:00Z,pm25,22.15,µg/m³
2026-07-17T21:00:00Z,pm25,17.98,µg/m³
2026-07-17T22:00:00Z,pm25,15.79,µg/m³
2026-07-17T23:00:00Z,pm25,17.59,µg/m³
2026-07-18T00:00:00Z,pm25,20.05,µg/m³
2026-07-18T01:00:00Z,pm25,16.0,µg/m³
2026-07-18T02:00:00Z,pm25,15.21,µg/m³
2026-07-18T03:00:00Z,pm25,16.75,µg/m³
2026-07-18T04:00:00Z,pm25,21.96,µg/m³
2026-07-18T05:00:00Z,pm25,22.37,µg/m³
2026-07-18T06:00:00Z,pm25,19.94,µg/m³
2026-07-18T07:00:00Z,pm25,33.24,µg/m³
2026-07-18T08:00:00Z,pm25,32.44,µg/m³
2026-07-18T09:00:00Z,pm25,30.6,µg/m³
2026-07-18T10:00:00Z,pm25,16.21,µg/m³
2026-07-18T11:00:00Z,pm25,21.85,µg/m³
2026-07-18T12:00:00Z,pm25,17.47,µg/m³
2026-07-18T13:00:00Z,pm25,19.41,µg/m³
2026-07-18T14:00:00Z,pm25,15.37,µg/m³
2026-07-18T15:00:00Z,pm25,22.28,µg/m³
2026-07-18T16:00:00Z,pm25,14.68,µg/m³
2026-07-18T17:00:00Z,pm25,28.3,µg/m³
2026-07-18T18:00:00Z,pm25,31.31,µg/m³
2026-07-18T19:00:00Z,pm25,34.28,µg/m³
2026-07-18T20:00:00Z,pm25,16.04,µg/m³
2026-07-18T21:00:00Z,pm25,19.24,µg/m³
2026-07-18T22:00:00Z,pm25,21.52,µg/m³
2026-07-18T23:00:00Z,pm25,17.19,µg/m³
2026-07-19T00:00:00Z,pm25,20.2,µg/m³
2026-07-19T01:00:00Z,pm25,16.49,µg/m³
2026-07-19T02:00:00Z,pm25,19.37,µg/m³
2026-07-19T03:00:00Z,pm25,21.49,µg/m³
2026-07-19T04:00:00Z,pm25,16.84,µg/m³
2026-07-19T05:00:00Z,pm25,22.36,µg/m³
2026-07-19T06:00:00Z,pm25,15.16,µg/m³
2026-07-19T07:00:00Z,pm25,32.6,µg/m³
2026-07-19T08:00:00Z,pm25,42.13,µg/m³
2026-07-19T09:00:00Z,pm25,27.85,µg/m³
2026-07-19T10:00:00Z,pm25,21.89,µg/m³
2026-07-19T11:00:00Z,pm25,17.17,µg/m³
2026-07-19T12:00:00Z,pm25,21.34,µg/m³
2026-07-19T13:00:00Z,pm25,20.05,µg/m³
2026-07-19T14:00:00Z,pm25,17.61,µg/m³
2026-07-19T15:00:00Z,pm25,14.97,µg/m³
2026-07-19T16:00:00Z,pm25,19.12,µg/m³
2026-07-19T17:00:00Z,pm25,29.56,µg/m³
2026-07-19T18:00:00Z,pm25,33.51,µg/m³
2026-07-19T19:00:00Z,pm25,29.58,µg/m³
2026-07-19T20:00:00Z,pm25,20.75,µg/m³
2026-07-19T21:00:00Z,pm25,16.11,µg/m³
2026-07-19T22:00:00Z,pm25,15.33,µg/m³
2026-07-19T23:00:00Z,pm25,22.19,µg/m³
2026-07-20T00:00:00Z,pm25,18.09,µg/m³
2026-07-20T01:00:00Z,pm25,17.5,µg/m³
2026-07-20T02:00:00Z,pm25,21.47,µg/m³
2026-07-20T03:00:00Z,pm25,19.0,µg/m³
2026-07-20T04:00:00Z,pm25,20.47,µg/m³
2026-07-20T05:00:00Z,pm25,19.8,µg/m³
2026-07-20T06:00:00Z,pm25,18.9,µg/m³
2026-07-20T07:00:00Z,pm25,29.5,µg/m³
2026-07-20T08:00:00Z,pm25,29.61,µg/m³
2026-07-20T09:00:00Z,pm25,31.54,µg/m³
2026-07-20T10:00:00Z,pm25,15.1,µg/m³
2026-07-20T11:00:00Z,pm25,22.26,µg/m³
2026-07-20T12:00:00Z,pm25,19.12,µg/m³
2026-07-20T13:00:00Z,pm25,18.63,µg/m³
2026-07-20T14:00:00Z,pm25,22.03,µg/m³
2026-07-20T15:00:00Z,pm25,16.99,µg/m³
2026-07-20T16:00:00Z,pm25,20.24,µg/m³
2026-07-20T17:00:00Z,pm25,32.65,µg/m³
2026-07-20T18:00:00Z,pm25,34.18,µg/m³
2026-07-20T19:00:00Z,pm25,38.08,µg/m³
2026-07-20T20:00:00Z,pm25,19.7,µg/m³
2026-07-20T21:00:00Z,pm25,17.49,µg/m³
2026-07-20T22:00:00Z,pm25,20.4,µg/m³
2026-07-20T23:00:00Z,pm25,20.82,µg/m³
2026-07-21T00:00:00Z,pm25,15.16,µg/m³
2026-07-21T01:00:00Z,pm25,18.16,µg/m³
2026-07-21T02:00:00Z,pm25,17.3,µg/m³
2026-07-21T03:00:00Z,pm25,15.1,µg/m³
2026-07-21T04:00:00Z,pm25,16.75,µg/m³
2026-07-21T05:00:00Z,pm25,20.07,µg/m³
2026-07-21T06:00:00Z,pm25,17.23,µg/m³
2026-07-21T07:00:00Z,pm25,29.66,µg/m³
2026-07-21T08:00:00Z,pm25,42.08,µg/m³
2026-07-21T09:00:00Z,pm25,32.31,µg/m³
2026-07-21T10:00:00Z,pm25,15.67,µg/m³
2026-07-21T11:00:00Z,pm25,16.72,µg/m³
2026-07-21T12:00:00Z,pm25,15.72,µg/m³
2026-07-21T13:00:00Z,pm25,17.24,µg/m³
2026-07-21T14:00:00Z,pm25,17.88,µg/m³
2026-07-21T15:00:00Z,pm25,18.01,µg/m³
2026-07-21T16:00:00Z,pm25,16.67,µg/m³
2026-07-21T17:00:00Z,pm25,37.8,µg/m³
2026-07-21T18:00:00Z,pm25,30.18,µg/m³
2026-07-21T19:00:00Z,pm25,39.67,µg/m³
2026-07-21T20:00:00Z,pm25,17.85,µg/m³
2026-07-21T21:00:00Z,pm25,15.79,µg/m³
2026-07-21T22:00:00Z,pm25,22.4,µg/m³
2026-07-21T23:00:00Z,pm25,18.07,µg/m³
2026-07-22T00:00:00Z,pm25,17.82,µg/m³
2026-07-22T01:00:00Z,pm25,19.94,µg/m³
2026-07-22T02:00:00Z,pm25,15.71,µg/m³
2026-07-22T03:00:00Z,pm25,16.94,µg/m³
2026-07-22T04:00:00Z,pm25,17.17,µg/m³
2026-07-22T05:00:00Z,pm25,16.19,µg/m³
2026-07-22T06:00:00Z,pm25,22.47,µg/m³
2026-07-22T07:00:00Z,pm25,34.34,µg/m³
2026-07-22T08:00:00Z,pm25,28.23,µg/m³
2026-07-22T09:00:00Z,pm25,30.42,µg/m³
2026-07-22T10:00:00Z,pm25,21.02,µg/m³
2026-07-22T11:00:00Z,pm25,20.15,µg/m³
2026-07-22T12:00:00Z,pm25,15.66,µg/m³
2026-07-22T13:00:00Z,pm25,15.48,µg/m³
2026-07-22T14:00:00Z,pm25,17.83,µg/m³
2026-07-22T15:00:00Z,pm25,15.72,µg/m³
2026-07-22T16:00:00Z,pm25,21.77,µg/m³
2026-07-22T17:00:00Z,pm25,36.08,µg/m³
2026-07-22T18:00:00Z,pm25,40.36,µg/m³
2026-07-22T19:00:00Z,pm25,27.67,µg/m³
2026-07-22T20:00:00Z,pm25,17.15,µg/m³
2026-07-22T21:00:00Z,pm25,15.54,µg/m³
2026-07-22T22:00:00Z,pm25,20.67,µg/m³
2026-07-22T23:00:00Z,pm25,21.51,µg/m³
2026-07-23T00:00:00Z,pm25,20.31,µg/m³
2026-07-23T01:00:00Z,pm25,16.68,µg/m³
2026-07-23T02:00:00Z,pm25,15.27,µg/m³
2026-07-23T03:00:00Z,pm25,16.26,µg/m³
2026-07-23T04:00:00Z,pm25,20.14,µg/m³
2026-07-23T05:00:00Z,pm25,17.96,µg/m³
2026-07-23T06:00:00Z,pm25,17.54,µg/m³
2026-07-23T07:00:00Z,pm25,33.79,µg/m³
2026-07-23T08:00:00Z,pm25,30.13,µg/m³
2026-07-23T09:00:00Z,pm25,33.34,µg/m³
2026-07-23T10:00:00Z,pm25,22.1,µg/m³
2026-07-23T11:00:00Z,pm25,21.16,µg/m³
2026-07-23T12:00:00Z,pm25,17.66,µg/m³
2026-07-23T13:00:00Z,pm25,16.76,µg/m³
2026-07-23T14:00:00Z,pm25,17.48,µg/m³
2026-07-23T15:00:00Z,pm25,19.0,µg/m³
2026-07-23T16:00:00Z,pm25,18.76,µg/m³
2026-07-23T17:00:00Z,pm25,31.23,µg/m³
2026-07-23T18:00:00Z,pm25,28.2,µg/m³
2026-07-23T19:00:00Z,pm25,36.48,µg/m³
2026-07-23T20:00:00Z,pm25,17.69,µg/m³
2026-07-23T21:00:00Z,pm25,21.41,µg/m³
2026-07-23T22:00:00Z,pm25,19.72,µg/m³
2026-07-23T23:00:00Z,pm25,18.13,µg/m³
2026-07-24T00:00:00Z,pm25,16.56,µg/m³
2026-07-24T01:00:00Z,pm25,14.61,µg/m³
2026-07-24T02:00:00Z,pm25,16.87,µg/m³
2026-07-24T03:00:00Z,pm25,18.51,µg/m³
2026-07-24T04:00:00Z,pm25,15.75,µg/m³
2026-07-24T05:00:00Z,pm25,19.08,µg/m³
2026-07-24T06:00:00Z,pm25,15.72,µg/m³
2026-07-24T07:00:00Z,pm25,32.87,µg/m³
2026-07-24T08:00:00Z,pm25,33.52,µg/m³
2026-07-24T09:00:00Z,pm25,32.43,µg/m³
2026-07-24T10:00:00Z,pm25,18.47,µg/m³
2026-07-24T11:00:00Z,pm25,20.75,µg/m³
2026-07-24T12:00:00Z,pm25,19.66,µg/m³
2026-07-24T13:00:00Z,pm25,19.49,µg/m³
2026-07-24T14:00:00Z,pm25,18.73,µg/m³
2026-07-24T15:00:00Z,pm25,16.39,µg/m³
2026-07-24T16:00:00Z,pm25,15.6,µg/m³
2026-07-24T17:00:00Z,pm25,32.74,µg/m³
2026-07-24T18:00:00Z,pm25,36.77,µg/m³
2026-07-24T19:00:00Z,pm25,31.36,µg/m³
2026-07-24T20:00:00Z,pm25,19.65,µg/m³
2026-07-24T21:00:00Z,pm25,18.18,µg/m³
2026-07-24T22:00:00Z,pm25,21.85,µg/m³
2026-07-24T23:00:00Z,pm25,17.21,µg/m³
2026-07-25T00:00:00Z,pm25,15.92,µg/m³
2026-07-25T01:00:00Z,pm25,19.21,µg/m³
2026-07-25T02:00:00Z,pm25,21.29,µg/m³
2026-07-25T03:00:00Z,pm25,18.17,µg/m³
2026-07-25T04:00:00Z,pm25,19.43,µg/m³
2026-07-25T05:00:00Z,pm25,15.96,µg/m³
2026-07-25T06:00:00Z,pm25,20.42,µg/m³
2026-07-25T07:00:00Z,pm25,39.43,µg/m³
2026-07-25T08:00:00Z,pm25,33.17,µg/m³
2026-07-25T09:00:00Z,pm25,35.56,µg/m³
2026-07-25T10:00:00Z,pm25,19.38,µg/m³
2026-07-25T11:00:00Z,pm25,16.45,µg/m³
2026-07-25T12:00:00Z,pm25,18.51,µg/m³
2026-07-25T13:00:00Z,pm25,19.91,µg/m³
2026-07-25T14:00:00Z,pm25,21.14,µg/m³
2026-07-25T15:00:00Z,pm25,20.63,µg/m³
2026-07-25T16:00:00Z,pm25,18.48,µg/m³
2026-07-25T17:00:00Z,pm25,31.29,µg/m³
2026-07-25T18:00:00Z,pm25,36.14,µg/m³
2026-07-25T19:00:00Z,pm25,30.83,µg/m³
2026-07-25T20:00:00Z,pm25,21.01,µg/m³
2026-07-25T21:00:00Z,pm25,17.53,µg/m³
2026-07-25T22:00:00Z,pm25,21.21,µg/m³
2026-07-25T23:00:00Z,pm25,15.91,µg/m³
2026-07-26T00:00:00Z,pm25,22.18,µg/m³
